Bases,year,runners_on_cd,outs,N,runs_in_rest_of_half_inning,runs_to_end_of_inning,runs_chance_of_scoring
__EMPTY__,0,0,0,427025,213116,0.499,27.3%
__EMPTY__,0,0,1,308318,81742,0.265,16.0%
__EMPTY__,0,0,2,245427,24993,0.102,7.0%
1B______,0,1,0,102096,90612,0.888,41.8%
1B______,0,1,1,123345,64809,0.525,26.7%
1B______,0,1,2,125528,28303,0.225,12.6%
___2B___,0,2,0,24868,28200,1.134,61.2%
___2B___,0,2,1,42509,29254,0.688,40.2%
___2B___,0,2,2,54308,17685,0.326,21.7%
1B_2B___,0,3,0,24628,36617,1.487,61.7%
1B_2B___,0,3,1,43130,39792,0.923,41.4%
1B_2B___,0,3,2,53297,23315,0.437,22.3%
______3B,0,4,0,3142,4272,1.360,83.8%
______3B,0,4,1,13533,13138,0.971,66.6%
______3B,0,4,2,22873,8586,0.375,26.5%
1B____3B,0,5,0,8715,15474,1.776,85.4%
1B____3B,0,5,1,19098,22472,1.177,63.7%
1B____3B,0,5,2,26078,12832,0.492,27.0%
___2B_3B,0,6,0,4986,9953,1.996,84.7%
___2B_3B,0,6,1,11924,16842,1.412,68.0%
___2B_3B,0,6,2,13209,7786,0.589,26.2%
_LOADED_,0,7,0,6407,14952,2.334,85.5%
_LOADED_,0,7,1,15038,24013,1.597,66.7%
_LOADED_,0,7,2,18626,14308,0.768,31.9%
